1285,"	11"
1286,"	7"
1287,"	13"
1288,"	9"
1289,"	5"
1290,"	13"
1291,"	9"
1292,"	7"
1293,"	6"
1294,"	6"
1295,"	14"
1296,"	9"
1297,"	10"
1298,"	12"
1299,"	8"
1300,"	14"
1301,"	10"
1302,"	15"
1303,"	19"
1304,"	15"
1305,"	16"
1306,"	15"
1307,"	22"
1308,"	18"
1309,"	21"
1310,"	19"
1311,"	23"
1312,"	14"
1313,"	17"
1314,"	14"
1315,"	15"
1316,"	21"
1317,"	18"
1318,"	25"
1319,"	28"
1320,"	24"
1321,"	28"
1322,"	30"
1323,"	25"
1324,"	32"
1325,"	34"
1326,"	25"
1327,"	51"
1328,"	34"
1329,"	23"
1330,"	36"
1331,"	33"
1332,"	36"
1333,"	34"
1334,"	39"
1335,"	37"
1336,"	37"
1337,"	35"
1338,"	39"
1339,"	45"
1340,"	29"
1341,"	36"
1342,"	39"
1343,"	47"
1344,"	43"
1345,"	42"
1346,"	55"
1347,"	44"
1348,"	49"
1349,"	55"
1350,"	46"
1351,"	52"
1352,"	31"
1353,"	49"
1354,"	61"
1355,"	53"
1356,"	54"
1357,"	46"
1358,"	74"
1359,"	46"
1360,"	47"
1361,"	49"
1362,"	60"
1363,"	59"
1364,"	49"
1365,"	52"
1366,"	57"
1367,"	55"
1368,"	45"
1369,"	61"
1370,"	50"
1371,"	28"
1372,"	50"
1373,"	54"
1374,"	49"
1375,"	58"
1376,"	39"
1377,"	45"
1378,"	45"
1379,"	38"
1380,"	39"
1381,"	55"
1382,"	44"
1383,"	39"
1384,"	41"
1385,"	37"
1386,"	28"
1387,"	29"
1388,"	28"
1389,"	41"
1390,"	31"
1391,"	29"
1392,"	31"
1393,"	31"
1394,"	26"
1395,"	35"
1396,"	33"
1397,"	28"
1398,"	31"
1399,"	23"
1400,"	19"
1401,"	30"
1402,"	23"
1403,"	19"
1404,"	18"
1405,"	14"
1406,"	17"
1407,"	13"
1408,"	24"
1409,"	19"
1410,"	21"
1411,"	18"
1412,"	14"
1413,"	20"
1414,"	18"
1415,"	15"
1416,"	17"
1417,"	16"
1418,"	19"
1419,"	16"
1420,"	12"
1421,"	10"
1422,"	6"
1423,"	7"
1424,"	6"
1425,"	7"
1426,"	7"
1427,"	5"
1428,"	6"
1429,"	5"
1430,"	5"
1431,"	8"
1432,"	4"
1433,"	4"
1434,"	5"
1435,"	6"
1436,"	1"
1437,"	8"
1438,"	8"
1439,"	5"
1440,"	5"
1441,"	5"
1442,"	3"
1443,"	5"
1444,"	4"
1445,"	2"
1446,"	3"
1447,"	4"
1448,"	5"
1449,"	5"
1450,"	5"
