Start Time, Thu Oct 4 10:19:11 GMT+0100 2018
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 7200
Real Time (s), 7205.128839
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 1, 0
2, 2, 0
3, 3, 0
4, 4, 0
5, 5, 45
6, 6, 803
7, 7, 2478
8, 8, 3690
9, 9, 3638
10, 10, 2328
11, 11, 1272
12, 12, 723
13, 13, 580
14, 14, 516
15, 15, 510
16, 16, 524
17, 17, 539
18, 18, 560
19, 19, 546
20, 20, 570
21, 21, 560
22, 22, 570
23, 23, 550
24, 24, 608
25, 25, 606
26, 26, 635
27, 27, 698
28, 28, 726
29, 29, 844
30, 30, 1194
31, 31, 1907
32, 32, 3356
33, 33, 6056
34, 34, 10806
35, 35, 17554
36, 36, 26486
37, 37, 35211
38, 38, 42167
39, 39, 44996
40, 40, 41382
41, 41, 34873
42, 42, 26653
43, 43, 19527
44, 44, 14296
45, 45, 10340
46, 46, 7785
47, 47, 5568
48, 48, 3754
49, 49, 2431
50, 50, 1671
51, 51, 1299
52, 52, 1151
53, 53, 1055
54, 54, 1124
55, 55, 1231
56, 56, 1320
57, 57, 1427
58, 58, 1577
59, 59, 1656
60, 60, 1781
61, 61, 1881
62, 62, 2044
63, 63, 2099
64, 64, 2163
65, 65, 2279
66, 66, 2299
67, 67, 2258
68, 68, 2095
69, 69, 1859
70, 70, 1803
71, 71, 1677
72, 72, 1675
73, 73, 1647
74, 74, 1623
75, 75, 1754
76, 76, 1839
77, 77, 1961
78, 78, 1934
79, 79, 2219
80, 80, 2329
81, 81, 2648
82, 82, 2847
83, 83, 3159
84, 84, 3526
85, 85, 3943
86, 86, 4528
87, 87, 5301
88, 88, 5904
89, 89, 6756
90, 90, 7484
91, 91, 8375
92, 92, 9434
93, 93, 10086
94, 94, 10830
95, 95, 11674
96, 96, 12184
97, 97, 12514
98, 98, 12467
99, 99, 11847
100, 100, 11099
101, 101, 9544
102, 102, 8060
103, 103, 6502
104, 104, 4955
105, 105, 3892
106, 106, 2892
107, 107, 2076
108, 108, 1607
109, 109, 1234
110, 110, 981
111, 111, 836
112, 112, 723
113, 113, 740
114, 114, 690
115, 115, 693
116, 116, 646
117, 117, 727
118, 118, 657
119, 119, 722
120, 120, 697
121, 121, 669
122, 122, 675
123, 123, 762
124, 124, 695
125, 125, 738
126, 126, 686
127, 127, 708
128, 128, 715
129, 129, 749
130, 130, 760
131, 131, 708
132, 132, 731
133, 133, 729
134, 134, 791
135, 135, 771
136, 136, 794
137, 137, 691
138, 138, 802
139, 139, 775
140, 140, 805
141, 141, 751
142, 142, 699
143, 143, 811
144, 144, 763
145, 145, 797
146, 146, 746
147, 147, 762
148, 148, 794
149, 149, 787
150, 150, 837
151, 151, 785
152, 152, 789
153, 153, 859
154, 154, 800
155, 155, 812
156, 156, 904
157, 157, 834
158, 158, 875
159, 159, 843
160, 160, 888
161, 161, 883
162, 162, 923
163, 163, 919
164, 164, 966
165, 165, 994
166, 166, 976
167, 167, 1043
168, 168, 1051
169, 169, 998
170, 170, 1131
171, 171, 1120
172, 172, 1145
173, 173, 1146
174, 174, 1209
175, 175, 1152
176, 176, 1199
177, 177, 1224
178, 178, 1187
179, 179, 1233
180, 180, 1131
181, 181, 1154
182, 182, 1252
183, 183, 1140
184, 184, 1147
185, 185, 1122
186, 186, 1041
187, 187, 1114
188, 188, 997
189, 189, 1032
190, 190, 1000
191, 191, 1014
192, 192, 952
193, 193, 975
194, 194, 891
195, 195, 936
196, 196, 897
197, 197, 855
198, 198, 852
199, 199, 868
200, 200, 845
201, 201, 837
202, 202, 873
203, 203, 817
204, 204, 765
205, 205, 777
206, 206, 781
207, 207, 830
208, 208, 852
209, 209, 830
210, 210, 726
211, 211, 778
212, 212, 832
213, 213, 762
214, 214, 780
215, 215, 793
216, 216, 791
217, 217, 753
218, 218, 774
219, 219, 779
220, 220, 773
221, 221, 785
222, 222, 718
223, 223, 719
224, 224, 760
225, 225, 725
226, 226, 729
227, 227, 754
228, 228, 729
229, 229, 750
230, 230, 780
231, 231, 677
232, 232, 731
233, 233, 693
234, 234, 753
235, 235, 725
236, 236, 691
237, 237, 751
238, 238, 663
239, 239, 693
240, 240, 767
241, 241, 645
242, 242, 633
243, 243, 668
244, 244, 676
245, 245, 654
246, 246, 629
247, 247, 645
248, 248, 662
249, 249, 676
250, 250, 660
251, 251, 661
252, 252, 573
253, 253, 614
254, 254, 580
255, 255, 588
256, 256, 568
257, 257, 581
258, 258, 601
259, 259, 537
260, 260, 573
261, 261, 579
262, 262, 568
263, 263, 565
264, 264, 545
265, 265, 537
266, 266, 479
267, 267, 519
268, 268, 536
269, 269, 501
270, 270, 528
271, 271, 526
272, 272, 534
273, 273, 499
274, 274, 526
275, 275, 523
276, 276, 514
277, 277, 594
278, 278, 547
279, 279, 618
280, 280, 583
281, 281, 624
282, 282, 571
283, 283, 661
284, 284, 687
285, 285, 713
286, 286, 776
287, 287, 791
288, 288, 846
289, 289, 820
290, 290, 849
291, 291, 898
292, 292, 931
293, 293, 1070
294, 294, 1078
295, 295, 1035
296, 296, 1122
297, 297, 1098
298, 298, 1092
299, 299, 1159
300, 300, 1143
301, 301, 1158
302, 302, 1205
303, 303, 1200
304, 304, 1257
305, 305, 1366
306, 306, 1303
307, 307, 1269
308, 308, 1382
309, 309, 1393
310, 310, 1365
311, 311, 1440
312, 312, 1451
313, 313, 1472
314, 314, 1543
315, 315, 1548
316, 316, 1572
317, 317, 1605
318, 318, 1606
319, 319, 1743
320, 320, 1740
321, 321, 1707
322, 322, 1775
323, 323, 1738
324, 324, 1771
325, 325, 1879
326, 326, 1794
327, 327, 1778
328, 328, 1929
329, 329, 1857
330, 330, 1816
331, 331, 1717
332, 332, 1847
333, 333, 1727
334, 334, 1648
335, 335, 1671
336, 336, 1565
337, 337, 1562
338, 338, 1501
339, 339, 1463
340, 340, 1404
341, 341, 1272
342, 342, 1097
343, 343, 1162
344, 344, 1090
345, 345, 994
346, 346, 984
347, 347, 950
348, 348, 845
349, 349, 851
350, 350, 821
351, 351, 822
352, 352, 871
353, 353, 861
354, 354, 840
355, 355, 910
356, 356, 924
357, 357, 1037
358, 358, 1029
359, 359, 1212
360, 360, 1261
361, 361, 1402
362, 362, 1424
363, 363, 1595
364, 364, 1844
365, 365, 1881
366, 366, 2021
367, 367, 2313
368, 368, 2410
369, 369, 2466
370, 370, 2726
371, 371, 2774
372, 372, 2944
373, 373, 3014
374, 374, 3263
375, 375, 3313
376, 376, 3656
377, 377, 3700
378, 378, 3766
379, 379, 3845
380, 380, 3883
381, 381, 4035
382, 382, 4020
383, 383, 4005
384, 384, 4061
385, 385, 4060
386, 386, 4074
387, 387, 4060
388, 388, 3890
389, 389, 3863
390, 390, 3790
391, 391, 3679
392, 392, 3593
393, 393, 3363
394, 394, 3357
395, 395, 3131
396, 396, 2926
397, 397, 2757
398, 398, 2655
