Start Time, Thu Jan 1 00:00:00 GMT+0000 2009
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 7200
Real Time (s), 7200.808772
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 1, 0
2, 2, 0
3, 3, 0
4, 4, 2
5, 5, 955
6, 6, 771
7, 7, 121
8, 8, 118
9, 9, 106
10, 10, 116
11, 11, 116
12, 12, 102
13, 13, 98
14, 14, 107
15, 15, 108
16, 16, 103
17, 17, 105
18, 18, 107
19, 19, 134
20, 20, 108
21, 21, 100
22, 22, 96
23, 23, 101
24, 24, 118
25, 25, 108
26, 26, 108
27, 27, 103
28, 28, 91
29, 29, 120
30, 30, 96
31, 31, 93
32, 32, 112
33, 33, 103
34, 34, 109
35, 35, 126
36, 36, 102
37, 37, 128
38, 38, 108
39, 39, 134
40, 40, 109
41, 41, 140
42, 42, 126
43, 43, 136
44, 44, 120
45, 45, 107
46, 46, 128
47, 47, 129
48, 48, 125
49, 49, 149
50, 50, 125
51, 51, 162
52, 52, 142
53, 53, 179
54, 54, 172
55, 55, 160
56, 56, 187
57, 57, 190
58, 58, 177
59, 59, 191
60, 60, 172
61, 61, 156
62, 62, 134
63, 63, 161
64, 64, 168
65, 65, 168
66, 66, 152
67, 67, 145
68, 68, 152
69, 69, 163
70, 70, 187
71, 71, 148
72, 72, 179
73, 73, 156
74, 74, 176
75, 75, 156
76, 76, 178
77, 77, 178
78, 78, 210
79, 79, 211
80, 80, 213
81, 81, 246
82, 82, 250
83, 83, 307
84, 84, 351
85, 85, 399
86, 86, 431
87, 87, 525
88, 88, 508
89, 89, 547
90, 90, 589
91, 91, 498
92, 92, 515
93, 93, 475
94, 94, 471
95, 95, 413
96, 96, 371
97, 97, 367
98, 98, 349
99, 99, 334
100, 100, 339
101, 101, 335
102, 102, 295
103, 103, 337
104, 104, 296
105, 105, 323
106, 106, 275
107, 107, 245
108, 108, 250
109, 109, 242
110, 110, 233
111, 111, 225
112, 112, 216
113, 113, 217
114, 114, 196
115, 115, 200
116, 116, 203
117, 117, 199
118, 118, 197
119, 119, 199
120, 120, 186
121, 121, 175
122, 122, 209
123, 123, 211
124, 124, 186
125, 125, 179
126, 126, 201
127, 127, 196
128, 128, 195
129, 129, 179
130, 130, 209
131, 131, 200
132, 132, 202
133, 133, 189
134, 134, 206
135, 135, 187
136, 136, 197
137, 137, 205
138, 138, 210
139, 139, 222
140, 140, 197
141, 141, 199
142, 142, 197
143, 143, 215
144, 144, 191
145, 145, 207
146, 146, 218
147, 147, 206
148, 148, 193
149, 149, 225
150, 150, 220
151, 151, 205
152, 152, 200
153, 153, 207
154, 154, 195
155, 155, 172
156, 156, 199
157, 157, 169
158, 158, 193
159, 159, 215
160, 160, 199
161, 161, 199
162, 162, 201
163, 163, 184
164, 164, 177
165, 165, 201
166, 166, 171
167, 167, 223
168, 168, 187
169, 169, 166
170, 170, 208
171, 171, 191
172, 172, 214
173, 173, 193
174, 174, 197
175, 175, 197
176, 176, 204
177, 177, 190
178, 178, 198
179, 179, 175
180, 180, 208
181, 181, 203
182, 182, 200
183, 183, 185
184, 184, 168
185, 185, 188
186, 186, 211
187, 187, 215
188, 188, 190
189, 189, 202
190, 190, 200
191, 191, 212
192, 192, 197
193, 193, 191
194, 194, 196
195, 195, 241
196, 196, 189
197, 197, 214
198, 198, 200
199, 199, 239
200, 200, 221
201, 201, 209
202, 202, 226
203, 203, 236
204, 204, 229
205, 205, 220
206, 206, 243
207, 207, 233
208, 208, 204
209, 209, 247
210, 210, 209
211, 211, 204
212, 212, 229
213, 213, 202
214, 214, 224
215, 215, 191
216, 216, 197
217, 217, 207
218, 218, 184
219, 219, 196
220, 220, 166
221, 221, 211
222, 222, 198
223, 223, 203
224, 224, 224
225, 225, 200
226, 226, 180
227, 227, 192
228, 228, 199
229, 229, 214
230, 230, 179
231, 231, 178
232, 232, 178
233, 233, 159
234, 234, 200
235, 235, 167
236, 236, 186
237, 237, 161
238, 238, 185
239, 239, 176
240, 240, 171
241, 241, 178
242, 242, 168
243, 243, 160
244, 244, 210
245, 245, 166
246, 246, 175
247, 247, 179
248, 248, 156
249, 249, 175
250, 250, 172
251, 251, 170
252, 252, 194
253, 253, 184
254, 254, 171
255, 255, 161
256, 256, 189
257, 257, 161
258, 258, 201
259, 259, 168
260, 260, 181
261, 261, 182
262, 262, 178
263, 263, 169
264, 264, 168
265, 265, 187
266, 266, 172
267, 267, 166
268, 268, 175
269, 269, 158
270, 270, 153
271, 271, 174
272, 272, 186
273, 273, 203
274, 274, 168
275, 275, 160
276, 276, 168
277, 277, 177
278, 278, 180
279, 279, 181
280, 280, 168
281, 281, 167
282, 282, 171
283, 283, 148
284, 284, 163
285, 285, 195
286, 286, 161
287, 287, 146
288, 288, 144
289, 289, 149
290, 290, 165
291, 291, 169
292, 292, 156
293, 293, 147
294, 294, 142
295, 295, 157
296, 296, 143
297, 297, 146
298, 298, 167
299, 299, 164
300, 300, 134
301, 301, 148
302, 302, 151
303, 303, 157
304, 304, 154
305, 305, 150
306, 306, 165
307, 307, 166
308, 308, 150
309, 309, 139
310, 310, 132
311, 311, 136
312, 312, 155
313, 313, 151
314, 314, 153
315, 315, 132
316, 316, 162
317, 317, 134
318, 318, 141
319, 319, 137
320, 320, 138
321, 321, 157
322, 322, 150
323, 323, 157
324, 324, 152
325, 325, 154
326, 326, 139
327, 327, 129
328, 328, 154
329, 329, 147
330, 330, 140
331, 331, 126
332, 332, 139
333, 333, 132
334, 334, 142
335, 335, 146
336, 336, 113
337, 337, 125
338, 338, 135
339, 339, 141
340, 340, 124
341, 341, 115
342, 342, 111
343, 343, 149
344, 344, 107
345, 345, 121
346, 346, 122
347, 347, 154
348, 348, 120
349, 349, 123
350, 350, 115
351, 351, 131
352, 352, 105
353, 353, 108
354, 354, 127
355, 355, 109
356, 356, 121
357, 357, 102
358, 358, 119
359, 359, 119
360, 360, 112
361, 361, 110
362, 362, 116
363, 363, 92
364, 364, 86
365, 365, 86
366, 366, 100
367, 367, 109
368, 368, 101
369, 369, 91
370, 370, 89
371, 371, 95
372, 372, 81
373, 373, 98
374, 374, 95
375, 375, 94
376, 376, 93
377, 377, 84
378, 378, 102
379, 379, 95
380, 380, 98
381, 381, 92
382, 382, 96
383, 383, 89
384, 384, 93
385, 385, 100
386, 386, 79
387, 387, 83
388, 388, 81
389, 389, 78
390, 390, 86
391, 391, 74
392, 392, 98
393, 393, 94
394, 394, 69
395, 395, 93
396, 396, 94
397, 397, 75
398, 398, 85
399, 399, 85
400, 400, 83
401, 401, 85
402, 402, 82
403, 403, 77
404, 404, 80
405, 405, 80
406, 406, 90
407, 407, 72
408, 408, 69
409, 409, 67
410, 410, 69
411, 411, 99
412, 412, 75
413, 413, 65
414, 414, 70
415, 415, 84
416, 416, 62
417, 417, 72
418, 418, 57
419, 419, 78
420, 420, 83
421, 421, 57
422, 422, 71
423, 423, 69
