Start Time, Tue Oct 9 12:08:49 GMT+0100 2018
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 7200
Real Time (s), 7201.837072
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 1, 0
2, 2, 0
3, 3, 0
4, 4, 1
5, 5, 309
6, 6, 535
7, 7, 205
8, 8, 204
9, 9, 183
10, 10, 201
11, 11, 185
12, 12, 190
13, 13, 190
14, 14, 191
15, 15, 161
16, 16, 186
17, 17, 157
18, 18, 186
19, 19, 199
20, 20, 204
21, 21, 210
22, 22, 211
23, 23, 188
24, 24, 214
25, 25, 204
26, 26, 204
27, 27, 191
28, 28, 211
29, 29, 176
30, 30, 216
31, 31, 201
32, 32, 206
33, 33, 237
34, 34, 190
35, 35, 206
36, 36, 204
37, 37, 206
38, 38, 216
39, 39, 236
40, 40, 234
41, 41, 197
42, 42, 220
43, 43, 199
44, 44, 199
45, 45, 235
46, 46, 239
47, 47, 224
48, 48, 231
49, 49, 249
50, 50, 231
51, 51, 299
52, 52, 271
53, 53, 266
54, 54, 293
55, 55, 319
56, 56, 301
57, 57, 318
58, 58, 285
59, 59, 281
60, 60, 293
61, 61, 271
62, 62, 276
63, 63, 249
64, 64, 267
65, 65, 256
66, 66, 234
67, 67, 283
68, 68, 271
69, 69, 284
70, 70, 300
71, 71, 251
72, 72, 305
73, 73, 280
74, 74, 291
75, 75, 311
76, 76, 271
77, 77, 298
78, 78, 329
79, 79, 320
80, 80, 371
81, 81, 401
82, 82, 446
83, 83, 512
84, 84, 544
85, 85, 630
86, 86, 695
87, 87, 725
88, 88, 773
89, 89, 788
90, 90, 843
91, 91, 830
92, 92, 747
93, 93, 745
94, 94, 647
95, 95, 605
96, 96, 584
97, 97, 555
98, 98, 534
99, 99, 491
100, 100, 528
101, 101, 489
102, 102, 483
103, 103, 508
104, 104, 450
105, 105, 425
106, 106, 414
107, 107, 392
108, 108, 377
109, 109, 364
110, 110, 347
111, 111, 345
112, 112, 294
113, 113, 326
114, 114, 337
115, 115, 271
116, 116, 283
117, 117, 260
118, 118, 307
119, 119, 287
120, 120, 269
121, 121, 285
122, 122, 283
123, 123, 269
124, 124, 314
125, 125, 280
126, 126, 313
127, 127, 323
128, 128, 273
129, 129, 299
130, 130, 315
131, 131, 308
132, 132, 305
133, 133, 308
134, 134, 259
135, 135, 267
136, 136, 292
137, 137, 300
138, 138, 296
139, 139, 313
140, 140, 330
141, 141, 294
142, 142, 297
143, 143, 317
144, 144, 294
145, 145, 296
146, 146, 288
147, 147, 298
148, 148, 309
149, 149, 308
150, 150, 309
151, 151, 326
152, 152, 277
153, 153, 307
154, 154, 294
155, 155, 308
156, 156, 251
157, 157, 313
158, 158, 293
159, 159, 304
160, 160, 304
161, 161, 328
162, 162, 312
163, 163, 311
164, 164, 302
165, 165, 309
166, 166, 283
167, 167, 293
168, 168, 293
169, 169, 317
170, 170, 311
171, 171, 312
172, 172, 272
173, 173, 271
174, 174, 307
175, 175, 269
176, 176, 315
177, 177, 277
178, 178, 293
179, 179, 280
180, 180, 300
181, 181, 287
182, 182, 265
183, 183, 272
184, 184, 308
185, 185, 297
186, 186, 278
187, 187, 298
188, 188, 279
189, 189, 307
190, 190, 289
191, 191, 255
192, 192, 266
193, 193, 304
194, 194, 309
195, 195, 279
196, 196, 273
197, 197, 277
198, 198, 270
199, 199, 314
200, 200, 308
201, 201, 332
202, 202, 295
203, 203, 289
204, 204, 307
205, 205, 325
206, 206, 266
207, 207, 284
208, 208, 296
209, 209, 268
210, 210, 267
211, 211, 303
212, 212, 297
213, 213, 261
214, 214, 317
215, 215, 316
216, 216, 302
217, 217, 262
218, 218, 287
219, 219, 307
220, 220, 314
221, 221, 289
222, 222, 319
223, 223, 303
224, 224, 279
225, 225, 336
226, 226, 291
227, 227, 293
228, 228, 285
229, 229, 328
230, 230, 312
231, 231, 315
232, 232, 340
233, 233, 310
234, 234, 319
235, 235, 343
236, 236, 352
237, 237, 331
238, 238, 328
239, 239, 345
240, 240, 322
241, 241, 351
242, 242, 343
243, 243, 356
244, 244, 394
245, 245, 347
246, 246, 383
247, 247, 339
248, 248, 367
249, 249, 384
250, 250, 324
251, 251, 348
252, 252, 389
253, 253, 358
254, 254, 347
255, 255, 340
256, 256, 366
257, 257, 372
258, 258, 389
259, 259, 333
260, 260, 339
261, 261, 330
262, 262, 372
263, 263, 366
264, 264, 323
265, 265, 365
266, 266, 357
267, 267, 310
268, 268, 355
269, 269, 304
270, 270, 326
271, 271, 336
272, 272, 315
273, 273, 343
274, 274, 328
275, 275, 319
276, 276, 309
277, 277, 290
278, 278, 311
279, 279, 294
280, 280, 326
281, 281, 319
282, 282, 317
283, 283, 293
284, 284, 285
285, 285, 307
286, 286, 288
287, 287, 289
288, 288, 271
289, 289, 289
290, 290, 306
291, 291, 289
292, 292, 293
293, 293, 235
294, 294, 265
295, 295, 287
296, 296, 263
297, 297, 264
298, 298, 283
299, 299, 247
300, 300, 255
301, 301, 275
302, 302, 267
303, 303, 244
304, 304, 253
305, 305, 242
306, 306, 257
307, 307, 273
308, 308, 252
309, 309, 266
310, 310, 253
311, 311, 237
312, 312, 305
313, 313, 265
314, 314, 240
315, 315, 223
316, 316, 242
317, 317, 257
318, 318, 239
319, 319, 242
320, 320, 227
321, 321, 236
322, 322, 248
323, 323, 286
324, 324, 248
325, 325, 242
326, 326, 227
327, 327, 254
328, 328, 247
329, 329, 269
330, 330, 272
331, 331, 286
332, 332, 261
333, 333, 255
334, 334, 238
335, 335, 233
336, 336, 249
337, 337, 241
338, 338, 227
339, 339, 264
340, 340, 263
341, 341, 264
342, 342, 246
343, 343, 243
344, 344, 257
345, 345, 234
346, 346, 242
347, 347, 242
348, 348, 258
349, 349, 244
350, 350, 237
351, 351, 210
352, 352, 254
353, 353, 261
354, 354, 242
355, 355, 236
356, 356, 225
357, 357, 205
358, 358, 220
359, 359, 223
360, 360, 227
361, 361, 203
362, 362, 278
363, 363, 245
364, 364, 238
365, 365, 268
366, 366, 244
367, 367, 246
368, 368, 257
369, 369, 245
370, 370, 247
371, 371, 242
372, 372, 243
373, 373, 236
374, 374, 229
375, 375, 238
376, 376, 226
377, 377, 208
378, 378, 228
379, 379, 211
380, 380, 243
381, 381, 205
382, 382, 236
383, 383, 198
384, 384, 262
385, 385, 232
386, 386, 237
387, 387, 239
388, 388, 215
389, 389, 244
390, 390, 214
391, 391, 218
392, 392, 208
393, 393, 253
394, 394, 235
395, 395, 239
396, 396, 234
397, 397, 216
398, 398, 236
399, 399, 244
400, 400, 206
401, 401, 235
402, 402, 204
403, 403, 239
404, 404, 236
405, 405, 210
406, 406, 206
407, 407, 206
408, 408, 235
409, 409, 199
410, 410, 221
411, 411, 227
412, 412, 226
413, 413, 208
414, 414, 243
415, 415, 225
416, 416, 227
417, 417, 206
418, 418, 216
419, 419, 196
420, 420, 202
421, 421, 211
422, 422, 218
423, 423, 218
