Start Time, Thu Jan 1 00:00:00 GMT+0000 2009
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 7200
Real Time (s), 7201.608259
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 1, 0
2, 2, 0
3, 3, 0
4, 4, 2
5, 5, 363
6, 6, 549
7, 7, 189
8, 8, 165
9, 9, 185
10, 10, 174
11, 11, 172
12, 12, 169
13, 13, 173
14, 14, 168
15, 15, 173
16, 16, 174
17, 17, 202
18, 18, 171
19, 19, 151
20, 20, 174
21, 21, 180
22, 22, 178
23, 23, 175
24, 24, 178
25, 25, 153
26, 26, 171
27, 27, 171
28, 28, 184
29, 29, 186
30, 30, 157
31, 31, 181
32, 32, 195
33, 33, 191
34, 34, 198
35, 35, 184
36, 36, 159
37, 37, 170
38, 38, 191
39, 39, 201
40, 40, 213
41, 41, 179
42, 42, 204
43, 43, 212
44, 44, 188
45, 45, 196
46, 46, 201
47, 47, 183
48, 48, 179
49, 49, 217
50, 50, 246
51, 51, 256
52, 52, 256
53, 53, 264
54, 54, 262
55, 55, 264
56, 56, 284
57, 57, 284
58, 58, 275
59, 59, 264
60, 60, 261
61, 61, 226
62, 62, 216
63, 63, 253
64, 64, 227
65, 65, 227
66, 66, 259
67, 67, 237
68, 68, 254
69, 69, 225
70, 70, 240
71, 71, 252
72, 72, 245
73, 73, 263
74, 74, 244
75, 75, 233
76, 76, 239
77, 77, 270
78, 78, 283
79, 79, 303
80, 80, 311
81, 81, 378
82, 82, 428
83, 83, 472
84, 84, 544
85, 85, 551
86, 86, 674
87, 87, 681
88, 88, 740
89, 89, 788
90, 90, 795
91, 91, 794
92, 92, 804
93, 93, 703
94, 94, 629
95, 95, 563
96, 96, 552
97, 97, 509
98, 98, 517
99, 99, 492
100, 100, 448
101, 101, 490
102, 102, 480
103, 103, 448
104, 104, 415
105, 105, 408
106, 106, 346
107, 107, 351
108, 108, 318
109, 109, 286
110, 110, 268
111, 111, 278
112, 112, 235
113, 113, 246
114, 114, 224
115, 115, 259
116, 116, 234
117, 117, 248
118, 118, 258
119, 119, 251
120, 120, 225
121, 121, 245
122, 122, 252
123, 123, 242
124, 124, 239
125, 125, 216
126, 126, 230
127, 127, 247
128, 128, 239
129, 129, 235
130, 130, 252
131, 131, 248
132, 132, 238
133, 133, 241
134, 134, 236
135, 135, 233
136, 136, 251
137, 137, 233
138, 138, 240
139, 139, 267
140, 140, 249
141, 141, 218
142, 142, 213
143, 143, 228
144, 144, 222
145, 145, 235
146, 146, 265
147, 147, 225
148, 148, 228
149, 149, 236
150, 150, 230
151, 151, 238
152, 152, 259
153, 153, 223
154, 154, 235
155, 155, 247
156, 156, 264
157, 157, 269
158, 158, 262
159, 159, 251
160, 160, 216
161, 161, 246
162, 162, 229
163, 163, 243
164, 164, 234
165, 165, 240
166, 166, 255
167, 167, 264
168, 168, 249
169, 169, 258
170, 170, 215
171, 171, 234
172, 172, 256
173, 173, 232
174, 174, 231
175, 175, 222
176, 176, 265
177, 177, 244
178, 178, 221
179, 179, 281
180, 180, 233
181, 181, 234
182, 182, 208
183, 183, 222
184, 184, 231
185, 185, 247
186, 186, 193
187, 187, 251
188, 188, 246
189, 189, 250
190, 190, 239
191, 191, 217
192, 192, 242
193, 193, 233
194, 194, 232
195, 195, 248
196, 196, 221
197, 197, 258
198, 198, 231
199, 199, 268
200, 200, 236
201, 201, 230
202, 202, 249
203, 203, 222
204, 204, 210
205, 205, 242
206, 206, 213
207, 207, 244
208, 208, 253
209, 209, 223
210, 210, 232
211, 211, 242
212, 212, 239
213, 213, 220
214, 214, 241
215, 215, 223
216, 216, 240
217, 217, 233
218, 218, 254
219, 219, 229
220, 220, 239
221, 221, 228
222, 222, 243
223, 223, 257
224, 224, 270
225, 225, 251
226, 226, 242
227, 227, 260
228, 228, 251
229, 229, 250
230, 230, 235
231, 231, 253
232, 232, 275
233, 233, 246
234, 234, 248
235, 235, 268
236, 236, 279
237, 237, 271
238, 238, 264
239, 239, 253
240, 240, 217
241, 241, 251
242, 242, 240
243, 243, 229
244, 244, 251
245, 245, 244
246, 246, 272
247, 247, 276
248, 248, 300
249, 249, 249
250, 250, 275
251, 251, 262
252, 252, 263
253, 253, 284
254, 254, 258
255, 255, 248
256, 256, 264
257, 257, 300
258, 258, 274
259, 259, 246
260, 260, 240
261, 261, 265
262, 262, 241
263, 263, 254
264, 264, 265
265, 265, 263
266, 266, 270
267, 267, 258
268, 268, 252
269, 269, 259
270, 270, 261
271, 271, 259
272, 272, 244
273, 273, 285
274, 274, 254
275, 275, 261
276, 276, 210
277, 277, 218
278, 278, 247
279, 279, 233
280, 280, 251
281, 281, 255
282, 282, 260
283, 283, 266
284, 284, 247
285, 285, 228
286, 286, 241
287, 287, 240
288, 288, 255
289, 289, 243
290, 290, 247
291, 291, 211
292, 292, 254
293, 293, 243
294, 294, 225
295, 295, 207
296, 296, 251
297, 297, 226
298, 298, 237
299, 299, 207
300, 300, 238
301, 301, 231
302, 302, 231
303, 303, 276
304, 304, 251
305, 305, 221
306, 306, 245
307, 307, 253
308, 308, 232
309, 309, 213
310, 310, 222
311, 311, 230
312, 312, 213
313, 313, 220
314, 314, 234
315, 315, 237
316, 316, 241
317, 317, 211
318, 318, 194
319, 319, 218
320, 320, 226
321, 321, 224
322, 322, 217
323, 323, 244
324, 324, 253
325, 325, 255
326, 326, 199
327, 327, 187
328, 328, 222
329, 329, 198
330, 330, 240
331, 331, 237
332, 332, 201
333, 333, 223
334, 334, 247
335, 335, 209
336, 336, 217
337, 337, 255
338, 338, 207
339, 339, 212
340, 340, 228
341, 341, 202
342, 342, 223
343, 343, 195
344, 344, 234
345, 345, 210
346, 346, 240
347, 347, 235
348, 348, 215
349, 349, 231
350, 350, 210
351, 351, 197
352, 352, 222
353, 353, 198
354, 354, 190
355, 355, 206
356, 356, 212
357, 357, 198
358, 358, 176
359, 359, 165
360, 360, 195
361, 361, 207
362, 362, 217
363, 363, 222
364, 364, 215
365, 365, 208
366, 366, 200
367, 367, 191
368, 368, 206
369, 369, 189
370, 370, 218
371, 371, 174
372, 372, 199
373, 373, 204
374, 374, 242
375, 375, 207
376, 376, 204
377, 377, 196
378, 378, 206
379, 379, 207
380, 380, 188
381, 381, 216
382, 382, 205
383, 383, 216
384, 384, 187
385, 385, 184
386, 386, 216
387, 387, 226
388, 388, 176
389, 389, 208
390, 390, 223
391, 391, 224
392, 392, 185
393, 393, 217
394, 394, 203
395, 395, 201
396, 396, 183
397, 397, 199
398, 398, 197
399, 399, 206
400, 400, 193
401, 401, 194
402, 402, 204
403, 403, 206
404, 404, 224
405, 405, 197
406, 406, 217
407, 407, 205
408, 408, 197
409, 409, 206
410, 410, 185
411, 411, 191
412, 412, 202
413, 413, 209
414, 414, 183
415, 415, 197
416, 416, 181
417, 417, 208
418, 418, 195
419, 419, 183
420, 420, 208
421, 421, 179
422, 422, 192
423, 423, 188
