Start Time, Mon Oct 15 15:51:38 GMT+0100 2018
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 7200
Real Time (s), 7200.749849
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 1, 0
2, 2, 0
3, 3, 0
4, 4, 1
5, 5, 1030
6, 6, 788
7, 7, 105
8, 8, 106
9, 9, 75
10, 10, 84
11, 11, 88
12, 12, 79
13, 13, 86
14, 14, 88
15, 15, 79
16, 16, 95
17, 17, 92
18, 18, 91
19, 19, 73
20, 20, 90
21, 21, 70
22, 22, 100
23, 23, 96
24, 24, 114
25, 25, 98
26, 26, 88
27, 27, 92
28, 28, 77
29, 29, 85
30, 30, 84
31, 31, 91
32, 32, 84
33, 33, 72
34, 34, 87
35, 35, 85
36, 36, 98
37, 37, 111
38, 38, 90
39, 39, 77
40, 40, 97
41, 41, 74
42, 42, 98
43, 43, 77
44, 44, 89
45, 45, 98
46, 46, 98
47, 47, 103
48, 48, 108
49, 49, 111
50, 50, 113
51, 51, 101
52, 52, 124
53, 53, 128
54, 54, 134
55, 55, 139
56, 56, 153
57, 57, 153
58, 58, 149
59, 59, 149
60, 60, 124
61, 61, 127
62, 62, 132
63, 63, 115
64, 64, 128
65, 65, 121
66, 66, 129
67, 67, 119
68, 68, 111
69, 69, 105
70, 70, 108
71, 71, 124
72, 72, 137
73, 73, 150
74, 74, 121
75, 75, 139
76, 76, 141
77, 77, 132
78, 78, 131
79, 79, 167
80, 80, 186
81, 81, 212
82, 82, 217
83, 83, 243
84, 84, 278
85, 85, 342
86, 86, 358
87, 87, 391
88, 88, 409
89, 89, 398
90, 90, 432
91, 91, 416
92, 92, 374
93, 93, 365
94, 94, 327
95, 95, 328
96, 96, 288
97, 97, 272
98, 98, 262
99, 99, 280
100, 100, 222
101, 101, 248
102, 102, 236
103, 103, 220
104, 104, 242
105, 105, 221
106, 106, 164
107, 107, 158
108, 108, 174
109, 109, 170
110, 110, 158
111, 111, 157
112, 112, 134
113, 113, 150
114, 114, 134
115, 115, 152
116, 116, 135
117, 117, 150
118, 118, 147
119, 119, 120
120, 120, 145
121, 121, 143
122, 122, 141
123, 123, 141
124, 124, 156
125, 125, 135
126, 126, 148
127, 127, 145
128, 128, 163
129, 129, 134
130, 130, 153
131, 131, 161
132, 132, 133
133, 133, 156
134, 134, 146
135, 135, 149
136, 136, 160
137, 137, 149
138, 138, 137
139, 139, 138
140, 140, 166
141, 141, 146
142, 142, 160
143, 143, 121
144, 144, 144
145, 145, 135
146, 146, 155
147, 147, 134
148, 148, 153
149, 149, 107
150, 150, 116
151, 151, 146
152, 152, 161
153, 153, 139
154, 154, 143
155, 155, 142
156, 156, 119
157, 157, 155
158, 158, 136
159, 159, 139
160, 160, 155
161, 161, 133
162, 162, 141
163, 163, 130
164, 164, 128
165, 165, 157
166, 166, 144
167, 167, 134
168, 168, 124
169, 169, 150
170, 170, 118
171, 171, 138
172, 172, 146
173, 173, 120
174, 174, 116
175, 175, 136
176, 176, 146
177, 177, 122
178, 178, 125
179, 179, 117
180, 180, 136
181, 181, 137
182, 182, 144
183, 183, 108
184, 184, 133
185, 185, 133
186, 186, 129
187, 187, 158
188, 188, 119
189, 189, 143
190, 190, 136
191, 191, 122
192, 192, 122
193, 193, 129
194, 194, 134
195, 195, 139
196, 196, 113
197, 197, 141
198, 198, 146
199, 199, 131
200, 200, 132
201, 201, 122
202, 202, 129
203, 203, 121
204, 204, 122
205, 205, 120
206, 206, 135
207, 207, 125
208, 208, 131
209, 209, 118
210, 210, 128
211, 211, 119
212, 212, 139
213, 213, 116
214, 214, 119
215, 215, 134
216, 216, 131
217, 217, 119
218, 218, 132
219, 219, 130
220, 220, 116
221, 221, 132
222, 222, 126
223, 223, 119
224, 224, 142
225, 225, 108
226, 226, 143
227, 227, 114
228, 228, 127
229, 229, 128
230, 230, 115
231, 231, 116
232, 232, 108
233, 233, 145
234, 234, 133
235, 235, 112
236, 236, 140
237, 237, 130
238, 238, 112
239, 239, 134
240, 240, 112
241, 241, 109
242, 242, 129
243, 243, 123
244, 244, 130
245, 245, 141
246, 246, 127
247, 247, 142
248, 248, 116
249, 249, 116
250, 250, 139
251, 251, 134
252, 252, 121
253, 253, 114
254, 254, 128
255, 255, 127
256, 256, 124
257, 257, 113
258, 258, 114
259, 259, 115
260, 260, 127
261, 261, 118
262, 262, 122
263, 263, 130
264, 264, 107
265, 265, 114
266, 266, 135
267, 267, 106
268, 268, 123
269, 269, 133
270, 270, 116
271, 271, 118
272, 272, 116
273, 273, 102
274, 274, 119
275, 275, 131
276, 276, 99
277, 277, 126
278, 278, 102
279, 279, 115
280, 280, 123
281, 281, 112
282, 282, 113
283, 283, 113
284, 284, 117
285, 285, 108
286, 286, 101
287, 287, 105
288, 288, 111
289, 289, 99
290, 290, 123
291, 291, 108
292, 292, 99
293, 293, 96
294, 294, 108
295, 295, 112
296, 296, 105
297, 297, 104
298, 298, 123
299, 299, 106
300, 300, 98
301, 301, 116
302, 302, 109
303, 303, 110
304, 304, 94
305, 305, 113
306, 306, 81
307, 307, 97
308, 308, 113
309, 309, 99
310, 310, 94
311, 311, 104
312, 312, 104
313, 313, 113
314, 314, 96
315, 315, 98
316, 316, 88
317, 317, 102
318, 318, 100
319, 319, 102
320, 320, 91
321, 321, 92
322, 322, 105
323, 323, 114
324, 324, 114
325, 325, 99
326, 326, 103
327, 327, 95
328, 328, 106
329, 329, 88
330, 330, 98
331, 331, 114
332, 332, 105
333, 333, 104
334, 334, 98
335, 335, 94
336, 336, 94
337, 337, 101
338, 338, 99
339, 339, 81
340, 340, 107
341, 341, 83
342, 342, 99
343, 343, 79
344, 344, 99
345, 345, 102
346, 346, 104
347, 347, 103
348, 348, 87
349, 349, 95
350, 350, 106
351, 351, 94
352, 352, 115
353, 353, 74
354, 354, 90
355, 355, 104
356, 356, 97
357, 357, 72
358, 358, 88
359, 359, 99
360, 360, 90
361, 361, 94
362, 362, 114
363, 363, 93
364, 364, 105
365, 365, 90
366, 366, 84
367, 367, 113
368, 368, 82
369, 369, 89
370, 370, 96
371, 371, 84
372, 372, 98
373, 373, 85
374, 374, 91
375, 375, 99
376, 376, 92
377, 377, 82
378, 378, 103
379, 379, 86
380, 380, 104
381, 381, 115
382, 382, 95
383, 383, 84
384, 384, 83
385, 385, 101
386, 386, 83
387, 387, 78
388, 388, 112
389, 389, 90
390, 390, 68
391, 391, 88
392, 392, 85
393, 393, 100
394, 394, 101
395, 395, 59
396, 396, 86
397, 397, 94
398, 398, 77
399, 399, 94
400, 400, 75
401, 401, 87
402, 402, 86
403, 403, 67
404, 404, 92
405, 405, 75
406, 406, 92
407, 407, 79
408, 408, 90
409, 409, 88
410, 410, 68
411, 411, 80
412, 412, 78
413, 413, 68
414, 414, 72
415, 415, 75
416, 416, 72
417, 417, 87
418, 418, 80
419, 419, 98
420, 420, 83
421, 421, 72
422, 422, 90
423, 423, 65
