Start Time, Tue Oct 16 09:21:25 GMT+0100 2018
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 7200
Real Time (s), 7200.686223
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 1, 0
2, 2, 0
3, 3, 0
4, 4, 4
5, 5, 1122
6, 6, 821
7, 7, 107
8, 8, 99
9, 9, 74
10, 10, 84
11, 11, 64
12, 12, 64
13, 13, 61
14, 14, 70
15, 15, 85
16, 16, 63
17, 17, 77
18, 18, 80
19, 19, 75
20, 20, 83
21, 21, 93
22, 22, 80
23, 23, 81
24, 24, 68
25, 25, 79
26, 26, 78
27, 27, 81
28, 28, 63
29, 29, 67
30, 30, 74
31, 31, 68
32, 32, 89
33, 33, 83
34, 34, 81
35, 35, 75
36, 36, 72
37, 37, 85
38, 38, 72
39, 39, 70
40, 40, 92
41, 41, 81
42, 42, 73
43, 43, 77
44, 44, 73
45, 45, 82
46, 46, 96
47, 47, 87
48, 48, 73
49, 49, 104
50, 50, 87
51, 51, 114
52, 52, 112
53, 53, 114
54, 54, 139
55, 55, 162
56, 56, 138
57, 57, 140
58, 58, 154
59, 59, 129
60, 60, 146
61, 61, 123
62, 62, 120
63, 63, 116
64, 64, 113
65, 65, 96
66, 66, 112
67, 67, 127
68, 68, 122
69, 69, 123
70, 70, 137
71, 71, 99
72, 72, 122
73, 73, 113
74, 74, 130
75, 75, 145
76, 76, 129
77, 77, 117
78, 78, 142
79, 79, 131
80, 80, 183
81, 81, 166
82, 82, 183
83, 83, 223
84, 84, 287
85, 85, 269
86, 86, 336
87, 87, 371
88, 88, 373
89, 89, 390
90, 90, 353
91, 91, 407
92, 92, 382
93, 93, 351
94, 94, 325
95, 95, 290
96, 96, 270
97, 97, 232
98, 98, 246
99, 99, 253
100, 100, 229
101, 101, 236
102, 102, 214
103, 103, 268
104, 104, 213
105, 105, 216
106, 106, 186
107, 107, 166
108, 108, 167
109, 109, 152
110, 110, 158
111, 111, 137
112, 112, 134
113, 113, 139
114, 114, 134
115, 115, 123
116, 116, 132
117, 117, 129
118, 118, 143
119, 119, 131
120, 120, 135
121, 121, 126
122, 122, 121
123, 123, 126
124, 124, 135
125, 125, 118
126, 126, 128
127, 127, 131
128, 128, 120
129, 129, 148
130, 130, 138
131, 131, 156
132, 132, 148
133, 133, 125
134, 134, 140
135, 135, 116
136, 136, 136
137, 137, 133
138, 138, 121
139, 139, 126
140, 140, 115
141, 141, 128
142, 142, 110
143, 143, 124
144, 144, 126
145, 145, 136
146, 146, 146
147, 147, 131
148, 148, 136
149, 149, 142
150, 150, 135
151, 151, 121
152, 152, 150
153, 153, 147
154, 154, 131
155, 155, 141
156, 156, 136
157, 157, 139
158, 158, 113
159, 159, 118
160, 160, 143
161, 161, 144
162, 162, 114
163, 163, 113
164, 164, 125
165, 165, 119
166, 166, 113
167, 167, 144
168, 168, 148
169, 169, 143
170, 170, 106
171, 171, 125
172, 172, 139
173, 173, 125
174, 174, 116
175, 175, 123
176, 176, 128
177, 177, 118
178, 178, 131
179, 179, 116
180, 180, 118
181, 181, 120
182, 182, 106
183, 183, 118
184, 184, 113
185, 185, 117
186, 186, 141
187, 187, 120
188, 188, 121
189, 189, 124
190, 190, 121
191, 191, 122
192, 192, 121
193, 193, 145
194, 194, 117
195, 195, 114
196, 196, 115
197, 197, 130
198, 198, 109
199, 199, 112
200, 200, 108
201, 201, 119
202, 202, 115
203, 203, 109
204, 204, 101
205, 205, 117
206, 206, 114
207, 207, 124
208, 208, 107
209, 209, 115
210, 210, 124
211, 211, 105
212, 212, 116
213, 213, 126
214, 214, 127
215, 215, 109
216, 216, 140
217, 217, 107
218, 218, 127
219, 219, 124
220, 220, 115
221, 221, 130
222, 222, 128
223, 223, 125
224, 224, 120
225, 225, 133
226, 226, 119
227, 227, 130
228, 228, 109
229, 229, 109
230, 230, 129
231, 231, 99
232, 232, 117
233, 233, 124
234, 234, 125
235, 235, 95
236, 236, 114
237, 237, 97
238, 238, 97
239, 239, 124
240, 240, 114
241, 241, 92
242, 242, 92
243, 243, 122
244, 244, 114
245, 245, 121
246, 246, 136
247, 247, 113
248, 248, 116
249, 249, 118
250, 250, 102
251, 251, 108
252, 252, 112
253, 253, 112
254, 254, 117
255, 255, 121
256, 256, 114
257, 257, 96
258, 258, 118
259, 259, 106
260, 260, 90
261, 261, 114
262, 262, 122
263, 263, 112
264, 264, 106
265, 265, 114
266, 266, 116
267, 267, 117
268, 268, 126
269, 269, 97
270, 270, 114
271, 271, 126
272, 272, 102
273, 273, 102
274, 274, 113
275, 275, 112
276, 276, 121
277, 277, 116
278, 278, 121
279, 279, 111
280, 280, 108
281, 281, 135
282, 282, 104
283, 283, 105
284, 284, 101
285, 285, 101
286, 286, 100
287, 287, 95
288, 288, 104
289, 289, 106
290, 290, 113
291, 291, 94
292, 292, 101
293, 293, 94
294, 294, 107
295, 295, 105
296, 296, 94
297, 297, 99
298, 298, 112
299, 299, 113
300, 300, 106
301, 301, 80
302, 302, 99
303, 303, 104
304, 304, 86
305, 305, 93
306, 306, 113
307, 307, 104
308, 308, 91
309, 309, 88
310, 310, 110
311, 311, 100
312, 312, 99
313, 313, 96
314, 314, 100
315, 315, 89
316, 316, 82
317, 317, 86
318, 318, 108
319, 319, 91
320, 320, 88
321, 321, 87
322, 322, 100
323, 323, 102
324, 324, 84
325, 325, 91
326, 326, 90
327, 327, 88
328, 328, 101
329, 329, 95
330, 330, 85
331, 331, 77
332, 332, 92
333, 333, 101
334, 334, 88
335, 335, 96
336, 336, 93
337, 337, 103
338, 338, 79
339, 339, 81
340, 340, 90
341, 341, 85
342, 342, 89
343, 343, 84
344, 344, 100
345, 345, 81
346, 346, 91
347, 347, 88
348, 348, 82
349, 349, 90
350, 350, 92
351, 351, 101
352, 352, 94
353, 353, 62
354, 354, 76
355, 355, 79
356, 356, 83
357, 357, 81
358, 358, 89
359, 359, 64
360, 360, 73
361, 361, 86
362, 362, 78
363, 363, 83
364, 364, 92
365, 365, 70
366, 366, 82
367, 367, 87
368, 368, 77
369, 369, 82
370, 370, 92
371, 371, 87
372, 372, 81
373, 373, 87
374, 374, 94
375, 375, 80
376, 376, 68
377, 377, 75
378, 378, 71
379, 379, 84
380, 380, 96
381, 381, 85
382, 382, 82
383, 383, 81
384, 384, 83
385, 385, 74
386, 386, 71
387, 387, 71
388, 388, 65
389, 389, 68
390, 390, 74
391, 391, 81
392, 392, 75
393, 393, 99
394, 394, 82
395, 395, 80
396, 396, 78
397, 397, 70
398, 398, 75
399, 399, 77
400, 400, 79
401, 401, 75
402, 402, 88
403, 403, 66
404, 404, 77
405, 405, 87
406, 406, 82
407, 407, 64
408, 408, 81
409, 409, 62
410, 410, 81
411, 411, 79
412, 412, 66
413, 413, 75
414, 414, 81
415, 415, 60
416, 416, 80
417, 417, 66
418, 418, 62
419, 419, 74
420, 420, 82
421, 421, 90
422, 422, 67
423, 423, 68
