Start Time, Tue Oct 16 16:31:50 GMT+0100 2018,,
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s),172800,,
Real Time (s),172808.0431,,
Elapsed Computational,0,,
Spectrum,,,
Channel, Energy (keV), Counts,
1,1,1,
2,2,0,
3,3,1,
4,4,43,
5,5,231,
6,6,418,
7,7,606,
8,8,793,
9,9,981,
10,10,894,
11,11,900,
12,12,866,
13,13,857,
14,14,817,
15,15,805,
16,16,859,
17,17,872,
18,18,918,
19,19,937,
20,20,966,
21,21,1011,
22,22,1041,
23,23,1010,
24,24,985,
25,25,915,
26,26,869,
27,27,862,
28,28,775,
29,29,767,
30,30,767,
31,31,859,
32,32,892,
33,33,902,
34,34,932,
35,35,906,
36,36,960,
37,37,890,
38,38,997,
39,39,980,
40,40,967,
41,41,949,
42,42,964,
43,43,958,
44,44,936,
45,45,976,
46,46,981,
47,47,1028,
48,48,1095,
49,49,1241,
50,50,1233,
51,51,1400,
52,52,1480,
53,53,1683,
54,54,1839,
55,55,2085,
56,56,2234,
57,57,2226,
58,58,2265,
59,59,2171,
60,60,2021,
61,61,1955,
62,62,1798,
63,63,1710,
64,64,1642,
65,65,1574,
66,66,1530,
67,67,1589,
68,68,1654,
69,69,1755,
70,70,1726,
71,71,1785,
72,72,1943,
73,73,1921,
74,74,1954,
75,75,2102,
76,76,2222,
77,77,2210,
78,78,2318,
79,79,2519,
80,80,2813,
81,81,3065,
82,82,3494,
83,83,3930,
84,84,4262,
85,85,4777,
86,86,5288,
87,87,5714,
88,88,6296,
89,89,6376,
90,90,6520,
91,91,6376,
92,92,6158,
93,93,5756,
94,94,5425,
95,95,5117,
96,96,4711,
97,97,4605,
98,98,4349,
99,99,4352,
100,100,4219,
101,101,4157,
102,102,4112,
103,103,4126,
104,104,3997,
105,105,3610,
106,106,3568,
107,107,3327,
108,108,3208,
109,109,2999,
110,110,2804,
111,111,2793,
112,112,2757,
113,113,2719,
114,114,2569,
115,115,2611,
116,116,2585,
117,117,2647,
118,118,2583,
119,119,2570,
120,120,2544,
121,121,2585,
122,122,2542,
123,123,2510,
124,124,2540,
125,125,2659,
126,126,2552,
127,127,2646,
128,128,2522,
129,129,2492,
130,130,2499,
131,131,2570,
132,132,2565,
133,133,2518,
134,134,2497,
135,135,2627,
136,136,2600,
137,137,2519,
138,138,2576,
139,139,2412,
140,140,2484,
141,141,2454,
142,142,2482,
143,143,2485,
144,144,2507,
145,145,2454,
146,146,2525,
147,147,2469,
148,148,2394,
149,149,2511,
150,150,2490,
151,151,2414,
152,152,2452,
153,153,2475,
154,154,2402,
155,155,2431,
156,156,2425,
157,157,2393,
158,158,2313,
159,159,2401,
160,160,2359,
161,161,2291,
162,162,2208,
163,163,2239,
164,164,2279,
165,165,2221,
166,166,2146,
167,167,2222,
168,168,2188,
169,169,2270,
170,170,2109,
171,171,2191,
172,172,2185,
173,173,2210,
174,174,2147,
175,175,2099,
176,176,2125,
177,177,2030,
178,178,2077,
179,179,2071,
180,180,2025,
181,181,2034,
182,182,2096,
183,183,2019,
184,184,1968,
185,185,1976,
186,186,2011,
187,187,1969,
188,188,1912,
189,189,1968,
190,190,1976,
191,191,1914,
192,192,1894,
193,193,1915,
194,194,1872,
195,195,1836,
196,196,1904,
197,197,1920,
198,198,1873,
199,199,1818,
200,200,1835,
201,201,1838,
202,202,1839,
203,203,1820,
204,204,1783,
205,205,1841,
206,206,1814,
207,207,1844,
208,208,1802,
209,209,1770,
210,210,1759,
211,211,1772,
212,212,1782,
213,213,1691,
214,214,1689,
215,215,1750,
216,216,1744,
217,217,1613,
218,218,1651,
219,219,1766,
220,220,1677,
221,221,1664,
222,222,1637,
223,223,1577,
224,224,1574,
225,225,1600,
226,226,1584,
227,227,1574,
228,228,1567,
229,229,1549,
230,230,1563,
231,231,1481,
232,232,1506,
233,233,1541,
234,234,1546,
235,235,1563,
236,236,1578,
237,237,1570,
238,238,1508,
239,239,1429,
240,240,1537,
241,241,1502,
242,242,1490,
243,243,1515,
244,244,1474,
245,245,1421,
246,246,1408,
247,247,1550,
248,248,1530,
249,249,1466,
250,250,1452,
251,251,1478,
252,252,1477,
253,253,1507,
254,254,1445,
255,255,1511,
256,256,1498,
257,257,1468,
258,258,1493,
259,259,1547,
260,260,1431,
261,261,1443,
262,262,1509,
263,263,1443,
264,264,1428,
265,265,1371,
266,266,1430,
267,267,1351,
268,268,1411,
269,269,1367,
270,270,1376,
271,271,1250,
272,272,1364,
273,273,1251,
274,274,1303,
275,275,1213,
276,276,1246,
277,277,1202,
278,278,1181,
279,279,1166,
280,280,1153,
281,281,1176,
282,282,1163,
283,283,1143,
284,284,1144,
285,285,1120,
286,286,1161,
287,287,1117,
288,288,1130,
289,289,1078,
290,290,1118,
291,291,1108,
292,292,1130,
293,293,1015,
294,294,1015,
295,295,1059,
296,296,1010,
297,297,1049,
298,298,1044,
299,299,1013,
300,300,1037,
301,301,1022,
302,302,1003,
303,303,1044,
304,304,994,
305,305,1015,
306,306,983,
307,307,1015,
308,308,1032,
309,309,1022,
310,310,969,
311,311,968,
312,312,1019,
313,313,1009,
314,314,976,
315,315,965,
316,316,946,
317,317,959,
318,318,924,
319,319,965,
320,320,899,
321,321,989,
322,322,902,
323,323,921,
324,324,929,
325,325,884,
326,326,934,
327,327,881,
328,328,889,
329,329,880,
330,330,840,
331,331,878,
332,332,832,
333,333,874,
334,334,901,
335,335,846,
336,336,811,
337,337,814,
338,338,857,
339,339,803,
340,340,825,
341,341,826,
342,342,837,
343,343,759,
344,344,838,
345,345,817,
346,346,792,
347,347,804,
348,348,758,
349,349,772,
350,350,765,
351,351,758,
352,352,761,
353,353,776,
354,354,712,
355,355,741,
356,356,749,
357,357,752,
358,358,812,
359,359,762,
360,360,728,
361,361,697,
362,362,748,
363,363,749,
364,364,703,
365,365,716,
366,366,770,
367,367,769,
368,368,760,
369,369,739,
370,370,678,
371,371,730,
372,372,709,
373,373,736,
374,374,751,
375,375,737,
376,376,723,
377,377,717,
378,378,733,
379,379,734,
380,380,691,
381,381,709,
382,382,762,
383,383,651,
384,384,680,
385,385,685,
386,386,657,
387,387,656,
388,388,686,
389,389,658,
390,390,668,
391,391,657,
392,392,578,
393,393,622,
394,394,589,
395,395,654,
396,396,665,
397,397,583,
398,398,585,
399,399,608,
400,400,601,
401,401,584,
402,402,582,
403,403,577,
404,404,568,
405,405,574,
406,406,518,
407,407,542,
408,408,548,
409,409,546,
410,410,445,
411,411,548,
412,412,513,
413,413,535,
414,414,525,
415,415,520,
416,416,545,
417,417,526,
418,418,519,
419,419,534,
420,420,535,
421,421,499,
422,422,477,
423,423,550,
424,424,462,
425,425,540,
426,426,479,
427,427,443,
428,428,498,
429,429,531,
430,430,476,
431,431,488,
432,432,465,
433,433,481,
434,434,498,
435,435,429,
436,436,446,
437,437,483,
438,438,495,
439,439,470,
440,440,484,
441,441,445,
442,442,431,
443,443,500,
444,444,442,
445,445,490,
446,446,447,
447,447,490,
448,448,431,
449,449,468,
450,450,447,
451,451,450,
452,452,419,
453,453,473,
454,454,444,
455,455,432,
456,456,464,
457,457,434,
458,458,443,
459,459,467,
460,460,477,
461,461,433,
462,462,434,
463,463,424,
464,464,428,
465,465,428,
466,466,444,
467,467,423,
468,468,411,
469,469,432,
470,470,393,
471,471,425,
472,472,411,
473,473,401,
474,474,385,
475,475,397,
476,476,444,
477,477,431,
478,478,421,
479,479,437,
480,480,389,
481,481,405,
482,482,413,
483,483,393,
484,484,418,
485,485,431,
486,486,382,
487,487,389,
488,488,404,
489,489,359,
490,490,390,
491,491,399,
492,492,419,
493,493,399,
494,494,411,
495,495,388,
496,496,431,
497,497,402,
498,498,405,
499,499,386,
500,500,410,
501,501,374,
502,502,428,
503,503,446,
504,504,393,
505,505,389,
506,506,427,
507,507,416,
508,508,421,
509,509,395,
510,510,410,
511,511,429,
512,512,400,
513,513,437,
514,514,392,
515,515,397,
516,516,396,
517,517,404,
518,518,444,
519,519,440,
520,520,406,
521,521,441,
522,522,408,
523,523,445,
524,524,457,
525,525,414,
526,526,447,
527,527,490,
528,528,461,
529,529,459,
530,530,430,
531,531,479,
532,532,441,
533,533,486,
534,534,509,
535,535,440,
536,536,443,
537,537,482,
538,538,480,
539,539,447,
540,540,454,
541,541,484,
542,542,449,
543,543,486,
544,544,454,
545,545,489,
546,546,459,
547,547,506,
548,548,475,
549,549,443,
550,550,480,
551,551,469,
552,552,438,
553,553,433,
554,554,469,
555,555,426,
556,556,403,
557,557,432,
558,558,391,
559,559,400,
560,560,426,
561,561,396,
562,562,374,
563,563,376,
564,564,350,
565,565,340,
566,566,367,
567,567,353,
568,568,356,
569,569,351,
570,570,345,
571,571,330,
572,572,338,
573,573,337,
574,574,316,
575,575,292,
576,576,336,
577,577,261,
578,578,324,
579,579,342,
580,580,307,
581,581,296,
582,582,303,
583,583,265,
584,584,282,
585,585,331,
586,586,313,
587,587,280,
588,588,287,
589,589,286,
590,590,305,
591,591,314,
592,592,281,
593,593,290,
594,594,311,
595,595,268,
596,596,292,
597,597,288,
598,598,299,
599,599,288,
600,600,284,
601,601,269,
602,602,276,
603,603,290,
604,604,294,
605,605,281,
606,606,317,
607,607,296,
608,608,305,
609,609,327,
610,610,337,
611,611,281,
612,612,325,
613,613,313,
614,614,299,
615,615,304,
616,616,294,
617,617,316,
618,618,299,
619,619,302,
620,620,288,
621,621,289,
622,622,311,
623,623,292,
624,624,264,
625,625,293,
626,626,321,
627,627,325,
628,628,312,
629,629,302,
630,630,288,
631,631,275,
632,632,325,
633,633,297,
634,634,315,
635,635,299,
636,636,321,
637,637,307,
638,638,296,
639,639,309,
640,640,287,
641,641,310,
642,642,291,
643,643,330,
644,644,306,
645,645,313,
646,646,266,
647,647,279,
648,648,297,
649,649,283,
650,650,298,
651,651,281,
652,652,272,
653,653,274,
654,654,272,
655,655,283,
656,656,286,
657,657,269,
658,658,272,
659,659,276,
660,660,286,
661,661,260,
662,662,271,
663,663,276,
664,664,246,
665,665,239,
666,666,254,
667,667,258,
668,668,213,
669,669,217,
670,670,227,
671,671,253,
672,672,211,
673,673,257,
674,674,205,
675,675,241,
676,676,237,
677,677,259,
678,678,241,
679,679,237,
680,680,236,
681,681,223,
682,682,239,
683,683,247,
684,684,191,
685,685,223,
686,686,189,
687,687,205,
688,688,240,
689,689,211,
690,690,208,
691,691,239,
692,692,206,
693,693,210,
694,694,226,
695,695,227,
696,696,189,
697,697,222,
698,698,249,
699,699,199,
700,700,236,
701,701,216,
702,702,201,
703,703,192,
704,704,220,
705,705,215,
706,706,208,
707,707,217,
708,708,197,
709,709,214,
710,710,226,
711,711,175,
712,712,214,
713,713,184,
714,714,187,
715,715,168,
716,716,193,
717,717,211,
718,718,186,
719,719,189,
720,720,185,
721,721,188,
722,722,187,
723,723,174,
724,724,209,
725,725,191,
726,726,172,
727,727,206,
728,728,199,
729,729,200,
730,730,200,
731,731,188,
732,732,199,
733,733,188,
734,734,184,
735,735,193,
736,736,170,
737,737,188,
738,738,170,
739,739,193,
740,740,214,
741,741,181,
742,742,210,
743,743,208,
744,744,173,
745,745,198,
746,746,183,
747,747,181,
748,748,206,
749,749,180,
750,750,197,
751,751,189,
752,752,184,
753,753,169,
754,754,181,
755,755,202,
756,756,166,
757,757,210,
758,758,169,
759,759,192,
760,760,179,
761,761,184,
762,762,178,
763,763,178,
764,764,171,
765,765,188,
766,766,189,
767,767,185,
768,768,201,
769,769,186,
770,770,191,
771,771,169,
772,772,175,
773,773,204,
774,774,173,
775,775,180,
776,776,163,
777,777,181,
778,778,196,
779,779,200,
780,780,172,
781,781,185,
782,782,191,
783,783,180,
784,784,192,
785,785,174,
786,786,184,
787,787,163,
788,788,156,
789,789,190,
790,790,171,
791,791,165,
792,792,163,
793,793,205,
794,794,190,
795,795,204,
796,796,172,
797,797,169,
798,798,174,
799,799,182,
800,800,181,
801,801,168,
802,802,183,
803,803,163,
804,804,178,
805,805,199,
806,806,176,
807,807,155,
808,808,161,
809,809,154,
810,810,193,
811,811,181,
812,812,189,
813,813,190,
814,814,166,
815,815,161,
816,816,171,
817,817,171,
818,818,192,
819,819,171,
820,820,153,
821,821,157,
822,822,174,
823,823,150,
824,824,174,
825,825,177,
826,826,174,
827,827,158,
828,828,175,
829,829,158,
830,830,180,
831,831,143,
832,832,156,
833,833,164,
834,834,176,
835,835,158,
836,836,171,
837,837,159,
838,838,136,
839,839,168,
840,840,143,
841,841,156,
842,842,167,
843,843,134,
844,844,145,
845,845,156,
846,846,182,
847,847,138,
848,848,164,
849,849,160,
850,850,150,
851,851,142,
852,852,151,
853,853,160,
854,854,152,
855,855,138,
856,856,144,
857,857,174,
858,858,154,
859,859,162,
860,860,149,
861,861,181,
862,862,150,
863,863,146,
864,864,137,
865,865,157,
866,866,156,
867,867,154,
868,868,162,
869,869,178,
870,870,140,
871,871,148,
872,872,136,
873,873,154,
874,874,146,
875,875,127,
876,876,134,
877,877,164,
878,878,154,
879,879,168,
880,880,155,
881,881,161,
882,882,163,
883,883,135,
884,884,144,
885,885,146,
886,886,154,
887,887,176,
888,888,129,
889,889,159,
890,890,152,
891,891,151,
892,892,136,
893,893,161,
894,894,158,
895,895,158,
896,896,142,
897,897,133,
898,898,166,
899,899,152,
900,900,152,
901,901,139,
902,902,143,
903,903,137,
904,904,142,
905,905,142,
906,906,154,
907,907,137,
908,908,123,
909,909,167,
910,910,152,
911,911,143,
912,912,151,
913,913,154,
914,914,141,
915,915,141,
916,916,160,
917,917,148,
918,918,142,
919,919,151,
920,920,136,
921,921,134,
922,922,157,
923,923,153,
924,924,138,
925,925,157,
926,926,148,
927,927,146,
928,928,161,
929,929,157,
930,930,168,
931,931,130,
