Start Time, Thu Jan 1 00:00:00 GMT+0000 2009
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 172800
Real Time (s), 172852.337608
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 1, 1
2, 2, 0
3, 3, 0
4, 4, 17
5, 5, 4394
6, 6, 11341
7, 7, 6403
8, 8, 6085
9, 9, 6292
10, 10, 6115
11, 11, 5997
12, 12, 6067
13, 13, 6099
14, 14, 6325
15, 15, 6334
16, 16, 6610
17, 17, 6904
18, 18, 6802
19, 19, 6966
20, 20, 6907
21, 21, 7158
22, 22, 7210
23, 23, 7500
24, 24, 7609
25, 25, 7736
26, 26, 7723
27, 27, 7990
28, 28, 8123
29, 29, 8218
30, 30, 8386
31, 31, 8759
32, 32, 9098
33, 33, 9225
34, 34, 9471
35, 35, 9625
36, 36, 9846
37, 37, 10064
38, 38, 10052
39, 39, 10331
40, 40, 10195
41, 41, 10642
42, 42, 10707
43, 43, 10715
44, 44, 10646
45, 45, 10990
46, 46, 11063
47, 47, 11452
48, 48, 11376
49, 49, 11928
50, 50, 12165
51, 51, 12493
52, 52, 13059
53, 53, 13560
54, 54, 14054
55, 55, 14485
56, 56, 15231
57, 57, 15597
58, 58, 16491
59, 59, 16783
60, 60, 17448
61, 61, 18067
62, 62, 18847
63, 63, 19673
64, 64, 20145
65, 65, 21027
66, 66, 21874
67, 67, 22956
68, 68, 23800
69, 69, 24858
70, 70, 26133
71, 71, 26951
72, 72, 27739
73, 73, 28505
74, 74, 29712
75, 75, 30324
76, 76, 31095
77, 77, 31990
78, 78, 33331
79, 79, 33947
80, 80, 34758
81, 81, 35357
82, 82, 36248
83, 83, 37079
84, 84, 38038
85, 85, 38865
86, 86, 40189
87, 87, 40335
88, 88, 41407
89, 89, 42572
90, 90, 42588
91, 91, 43353
92, 92, 43520
93, 93, 43665
94, 94, 43578
95, 95, 44034
96, 96, 43690
97, 97, 43199
98, 98, 42828
99, 99, 43001
100, 100, 43289
101, 101, 43637
102, 102, 43955
103, 103, 43732
104, 104, 43533
105, 105, 43774
106, 106, 43723
107, 107, 43716
108, 108, 43316
109, 109, 42972
110, 110, 43074
111, 111, 43426
112, 112, 42695
113, 113, 42766
114, 114, 42114
115, 115, 42070
116, 116, 41974
117, 117, 41698
118, 118, 41639
119, 119, 41472
120, 120, 41194
121, 121, 41428
122, 122, 40987
123, 123, 40549
124, 124, 40796
125, 125, 40512
126, 126, 39833
127, 127, 40009
128, 128, 39941
129, 129, 39465
130, 130, 39373
131, 131, 39284
132, 132, 39293
133, 133, 39119
134, 134, 38731
135, 135, 38247
136, 136, 38604
137, 137, 38161
138, 138, 38120
139, 139, 37569
140, 140, 37172
141, 141, 37330
142, 142, 36983
143, 143, 36605
144, 144, 36753
145, 145, 36238
146, 146, 35938
147, 147, 35681
148, 148, 35633
149, 149, 35512
150, 150, 34823
151, 151, 35330
152, 152, 34902
153, 153, 34397
154, 154, 33757
155, 155, 33499
156, 156, 33354
157, 157, 33241
158, 158, 32853
159, 159, 32427
160, 160, 31849
161, 161, 32166
162, 162, 31898
163, 163, 31348
164, 164, 31005
165, 165, 30841
166, 166, 30713
167, 167, 30259
168, 168, 30175
169, 169, 29764
170, 170, 29200
171, 171, 29088
172, 172, 29167
173, 173, 28707
174, 174, 28704
175, 175, 28433
176, 176, 28231
177, 177, 27578
178, 178, 27587
179, 179, 27193
180, 180, 26783
181, 181, 27371
182, 182, 26615
183, 183, 26340
184, 184, 25963
185, 185, 25503
186, 186, 25480
187, 187, 25392
188, 188, 24972
189, 189, 25342
190, 190, 24786
191, 191, 24903
192, 192, 24427
193, 193, 24201
194, 194, 24121
195, 195, 23635
196, 196, 23959
197, 197, 23796
198, 198, 23302
199, 199, 23516
200, 200, 23354
201, 201, 23131
202, 202, 23089
203, 203, 22845
204, 204, 22633
205, 205, 22601
206, 206, 22429
207, 207, 22519
208, 208, 22058
209, 209, 21983
210, 210, 21791
